Ericaceous vegetation;0,11
Andromeda polifolia;0,23
Eucalyptus letophylla/Eucalyptus incrassata;0,25
Colophospermum mopane;0,26
Artemisia ordosica;0,3
Festuca ortophylla;0,32
Melaleuca leucadendron;0,37
Acacia;0,38
Vaccinium uliginosum;0,38
Betula glandulosa;0,52
Heath;0,53
Other Acacia;0,553333333
Eucalyptus socialis;0,56
Eucalyptus fasciculosa;0,595
Larrea divaricata;0,6
Cordia africana;0,61
Empetrum hermaphroditum;0,61
Cassiope tetragona;0,612222222
Eucalyptus cupularis/Eucalyptus fasciculosa;0,65
Eucalyptus stellulata;0,66
Not described;0,685454545
Eucalyptus porosa;0,69
Eucalyptus bridgesiana;0,72
Larix laricina;0,746666667
Acacia aneura;0,791052632
Guiera senegalensis;0,82
Quercus douglasii;0,83
Iva frutescens;0,84
Eucalyptus pauciflora;0,85
Eucalyptus dumosa;0,853333333
Larix spp,;0,868
Mixture of tree and non woody species (total 18 species);0,935
Eucalyptus luecoxylon;0,95
Eucalyptus viminalis;0,99
Eucalyptus sp,;0,992608696
Artemisia tridentata;1
Scaevola plumieri;1,05
Salix spp,;1,063333333
Eucalyptus ovata;1,08
Adenostoma fasciculatum;1,1
Eucalyptus radiata;1,13
Juniperus occidentalis;1,2
Artemesia tridentata;1,25
Shrub;1,326666667
Eucalyptus viminalis/Eucalyptus pauciflora;1,34
Acacia mearnsii;1,35
Cistus monospeliensis;1,36
Cercocarpus breviflorus;1,4
Pinus halepensis;1,426666667
Dry sclerophyll forest species;1,48
Picea purpurea;1,5
Rhus typhina;1,5
Rhus copallina;1,52
Betula nana;1,543333333
Eucalyptus;1,576923077
Loiseleuria procumbens;1,66
Taxodium distichum;1,7
Pinus yunnanensis;1,75
Podocarpus falcatus;1,78
Eucalyptus dives;1,8
Eucalyptus delegatensis;1,805
Avicennia marina;1,834
Rhododendron nivale;1,85
Pinus sibirica;1,89
Abies faxoniana;1,9
Pinus mugo;1,9
Chamaedaphne calyculata;1,92
Eucalyptus obliqua/Eucalyptus cypellocarpa;1,93
Eucalyptus cypellocarpa;1,95
Populus spp;1,96
Rhododendron carolinianum;2
Eucalyptus camaldulensis;2,000833333
Larix gmelinii;2,003846154
Nothofagus antarctica;2,005
Chrysothamnus consimilis;2,02
Populus canadensis Moench (clone I-214);2,02
Eucalyptus marginata;2,03625
Nothofagus pumilio;2,073333333
Eucalyptus calophylla;2,1
Euxylophora paraensis;2,1
Evergreen forest;2,1
Hedyosmum racemosum etc,;2,1
Atriplex confertifolia;2,12
Avicennia germinans;2,18
Vaccinium myrtilloides;2,18
Cistus albidus;2,2
Salix viminalis;2,2
Sarcobatus vermiculatus;2,22
Betula;2,27
Nothofagus glauca;2,27
Pinus tabulaeformis;2,28
Eucalyptus grandis * camaldulensis hybrid;2,290833333
Pinus patula;2,295
Betula platyphylla;2,3
Eucalyptus grandis hybrids;2,3
Myrcia fallax etc,;2,3
Savanna trees and shrubs species;2,32
Quercus pyrenaica;2,351666667
Populus davidiana;2,37
Inga oerstediana etc,;2,4
Populus grandidentata;2,43
Pinus elliottii;2,47
Acacia melanoxylon;2,5
Pinus caribaea;2,5
Toona ciliata;2,5
Larix principis-rupprechtii;2,54
Eucalyptus diversicolor;2,55
Quercus frainetto;2,5625
Kandelia candel;2,57
Populus fremontii;2,6
Tabebuia rigida;2,62
Eucalyptus obliqua;2,656666667
Acacia koa;2,661428571
Eucalyptus saligna;2,697
Quercus pubescens;2,756666667
Alnus incana;2,773333333
Populus tremuloides;2,775087719
Eucalyptus grandis * urophylla (mono clonal);2,8
Picea obovata;2,8
Rhododendron catawbiense;2,8
Savanna trees species;2,805
Betula spp,;2,816666667
Atriplex lentiformis (Torr,);2,82
Betula pubescens;2,83
Alder/Maple;2,86
Robinia pseudoacacia;2,89
Carapa guianensis;2,9
Quercus liaotungensis;2,9
Various (see Table1 of Hoffmann et al, 2005);2,906
Populus tremula;2,91
Eucalyptus fastigata;2,93
Picea;2,97
Atriplex canescens;2,99
Acacia mangium;3
Fraxinus pennsylvanica;3
Eucalyptus spp,;3,005
Eperua molenillo;3,04
Arbutus unedo;3,05
Pinus taeda;3,084117647
Leiophyllum lyoni;3,1
Betula pendula;3,110882353
Various (T1 in Hoffmann 2005 Oecologia);3,135
Nothofagus betuloides;3,155
Combretodendron africanum;3,16
Kandelia obovata;3,17
Pinus cembra;3,2
Salix dasyclados;3,2
Populus trichocarpa;3,23
